name,price,point,id,sport_key,commence_time,home_team,away_team,bookmakers.key,bookmakers.last_update
Over,1.89,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,draftkings,2024-12-12T00:36:51Z
Under,1.93,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,draftkings,2024-12-12T00:36:51Z
Over,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betus,2024-12-12T00:36:52Z
Under,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betus,2024-12-12T00:36:52Z
Over,1.95,49.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,fanduel,2024-12-12T00:37:38Z
Under,1.87,49.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,fanduel,2024-12-12T00:37:38Z
Over,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,mybookieag,2024-12-12T00:36:06Z
Under,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,mybookieag,2024-12-12T00:36:06Z
Over,1.88,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,lowvig,2024-12-12T00:36:51Z
Under,1.98,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,lowvig,2024-12-12T00:36:51Z
Over,1.87,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betonlineag,2024-12-12T00:37:49Z
Under,1.95,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betonlineag,2024-12-12T00:37:49Z
Over,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betrivers,2024-12-12T00:36:51Z
Under,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betrivers,2024-12-12T00:36:51Z
Over,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betmgm,2024-12-12T00:36:51Z
Under,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betmgm,2024-12-12T00:36:51Z
Over,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,bovada,2024-12-12T00:36:51Z
Under,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,bovada,2024-12-12T00:36:51Z
Over,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,draftkings,2024-12-12T00:36:51Z
Under,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,draftkings,2024-12-12T00:36:51Z
Over,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,fanduel,2024-12-12T00:37:38Z
Under,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,fanduel,2024-12-12T00:37:38Z
Over,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betonlineag,2024-12-12T00:37:49Z
Under,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betonlineag,2024-12-12T00:37:49Z
Over,1.93,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,lowvig,2024-12-12T00:36:51Z
Under,1.93,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,lowvig,2024-12-12T00:36:51Z
Over,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betus,2024-12-12T00:36:52Z
Under,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betus,2024-12-12T00:36:52Z
Over,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,mybookieag,2024-12-12T00:36:06Z
Under,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,mybookieag,2024-12-12T00:36:06Z
Over,1.89,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betrivers,2024-12-12T00:36:51Z
Under,1.92,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betrivers,2024-12-12T00:36:51Z
Over,1.91,43.0,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betmgm,2024-12-12T00:36:51Z
Under,1.91,43.0,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,betmgm,2024-12-12T00:36:51Z
Over,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,bovada,2024-12-12T00:36:51Z
Under,1.91,42.5,5b0eca40563ea0d05181677441c3c0bc,americanfootball_nfl,2024-12-15T18:00:00Z,New York Giants,Baltimore Ravens,bovada,2024-12-12T00:36:51Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,draftkings,2024-12-12T00:36:51Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,draftkings,2024-12-12T00:36:51Z
Over,1.83,42.5,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,fanduel,2024-12-12T00:37:38Z
Under,1.98,42.5,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,fanduel,2024-12-12T00:37:38Z
Over,1.93,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,lowvig,2024-12-12T00:36:51Z
Under,1.93,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,lowvig,2024-12-12T00:36:51Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betonlineag,2024-12-12T00:37:49Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betonlineag,2024-12-12T00:37:49Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betus,2024-12-12T00:36:52Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betus,2024-12-12T00:36:52Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,mybookieag,2024-12-12T00:36:06Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,mybookieag,2024-12-12T00:36:06Z
Over,1.89,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betrivers,2024-12-12T00:36:51Z
Under,1.92,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betrivers,2024-12-12T00:36:51Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betmgm,2024-12-12T00:36:51Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,betmgm,2024-12-12T00:36:51Z
Over,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,bovada,2024-12-12T00:36:51Z
Under,1.91,43.0,5e028b3e2019613c56d3431d4e04e46d,americanfootball_nfl,2024-12-15T18:00:00Z,Carolina Panthers,Dallas Cowboys,bovada,2024-12-12T00:36:51Z
Over,1.87,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,draftkings,2024-12-12T00:36:51Z
Under,1.95,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,draftkings,2024-12-12T00:36:51Z
Over,1.91,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,betus,2024-12-12T00:36:52Z
Under,1.91,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,betus,2024-12-12T00:36:52Z
Over,1.87,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,fanduel,2024-12-12T00:37:38Z
Under,1.95,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,fanduel,2024-12-12T00:37:38Z
Over,1.98,47.0,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,lowvig,2024-12-12T00:36:51Z
Under,1.88,47.0,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,lowvig,2024-12-12T00:36:51Z
Over,1.95,47.0,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,betonlineag,2024-12-12T00:37:49Z
Under,1.87,47.0,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,betonlineag,2024-12-12T00:37:49Z
Over,1.91,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,mybookieag,2024-12-12T00:36:06Z
Under,1.91,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,mybookieag,2024-12-12T00:36:06Z
Over,1.92,47.0,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,betrivers,2024-12-12T00:36:51Z
Under,1.89,47.0,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,betrivers,2024-12-12T00:36:51Z
Over,1.91,47.0,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,betmgm,2024-12-12T00:36:51Z
Under,1.91,47.0,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,betmgm,2024-12-12T00:36:51Z
Over,1.91,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,bovada,2024-12-12T00:36:51Z
Under,1.91,46.5,f6d5d91ea4480042265698647a6120f6,americanfootball_nfl,2024-12-15T18:00:00Z,Tennessee Titans,Cincinnati Bengals,bovada,2024-12-12T00:36:51Z
Over,1.93,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,draftkings,2024-12-12T00:36:51Z
Under,1.89,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,draftkings,2024-12-12T00:36:51Z
Over,1.91,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,betus,2024-12-12T00:36:52Z
Under,1.91,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,betus,2024-12-12T00:36:52Z
Over,1.95,44.5,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,fanduel,2024-12-12T00:37:38Z
Under,1.87,44.5,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,fanduel,2024-12-12T00:37:38Z
Over,1.87,43.5,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,betonlineag,2024-12-12T00:37:49Z
Under,1.95,43.5,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,betonlineag,2024-12-12T00:37:49Z
Over,1.88,43.5,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,lowvig,2024-12-12T00:36:51Z
Under,1.98,43.5,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,lowvig,2024-12-12T00:36:51Z
Over,1.91,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,mybookieag,2024-12-12T00:36:06Z
Under,1.91,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,mybookieag,2024-12-12T00:36:06Z
Over,1.89,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,betrivers,2024-12-12T00:36:51Z
Under,1.92,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,betrivers,2024-12-12T00:36:51Z
Over,1.91,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,betmgm,2024-12-12T00:36:51Z
Under,1.91,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,betmgm,2024-12-12T00:36:51Z
Over,1.91,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,bovada,2024-12-12T00:36:51Z
Under,1.91,44.0,9db2aef33225a4bda04bbc7c33e50e63,americanfootball_nfl,2024-12-15T18:00:00Z,Cleveland Browns,Kansas City Chiefs,bovada,2024-12-12T00:36:51Z
Over,1.93,47.0,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,draftkings,2024-12-12T00:36:51Z
Under,1.89,47.0,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,draftkings,2024-12-12T00:36:51Z
Over,1.87,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,fanduel,2024-12-12T00:37:38Z
Under,1.95,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,fanduel,2024-12-12T00:37:38Z
Over,1.91,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,betonlineag,2024-12-12T00:37:49Z
Under,1.91,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,betonlineag,2024-12-12T00:37:49Z
Over,1.93,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,lowvig,2024-12-12T00:36:51Z
Under,1.93,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,lowvig,2024-12-12T00:36:51Z
Over,1.91,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,betus,2024-12-12T00:36:52Z
Under,1.91,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,betus,2024-12-12T00:36:52Z
Over,1.91,47.0,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,mybookieag,2024-12-12T00:36:06Z
Under,1.91,47.0,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,mybookieag,2024-12-12T00:36:06Z
Over,1.93,47.0,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,betrivers,2024-12-12T00:36:51Z
Under,1.88,47.0,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,betrivers,2024-12-12T00:36:51Z
Over,1.91,47.0,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,betmgm,2024-12-12T00:36:51Z
Under,1.91,47.0,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,betmgm,2024-12-12T00:36:51Z
Over,1.91,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,bovada,2024-12-12T00:36:51Z
Under,1.91,46.5,79eb6a96467e443fcd884f1aab38fb40,americanfootball_nfl,2024-12-15T18:00:00Z,Houston Texans,Miami Dolphins,bovada,2024-12-12T00:36:51Z
Over,1.93,40.5,7b58ba499776572737bf4335349ee5ca,americanfootball_nfl,2024-12-15T18:00:00Z,Jacksonville Jaguars,New York Jets,draftkings,2024-12-12T00:36:51Z
